task_key,task_kind,task_description,pool_seed,condition,regret,fallback_triggered,latency_seconds,api_calls,top_service_id,strategy,weights_json,is_synthetic_data,prompt_tokens,completion_tokens
streaming,profile,"We need a service to power real-time video and audio delivery to end users. Sustained throughput and low end-to-end latency matter far more than anything else -- a brief buffering stall is immediately visible to viewers, but a rare failed request that gets silently retried is not a big deal.",1000,lookup_table,0.0,False,0.0,0,qws_1159,topsis,"{""response_time"": 0.2, ""availability"": 0.05, ""throughput"": 0.32, ""successability"": 0.05, ""reliability"": 0.05, ""compliance"": 0.03, ""best_practices"": 0.03, ""latency"": 0.22, ""documentation"": 0.05}",False,0,0
streaming,profile,"We need a service to power real-time video and audio delivery to end users. Sustained throughput and low end-to-end latency matter far more than anything else -- a brief buffering stall is immediately visible to viewers, but a rare failed request that gets silently retried is not a big deal.",1000,global_fixed,0.03353110852395402,False,0.0,0,qws_2189,topsis,"{""response_time"": 0.1111111111111111, ""availability"": 0.1111111111111111, ""throughput"": 0.1111111111111111, ""successability"": 0.1111111111111111, ""reliability"": 0.1111111111111111, ""compliance"": 0.1111111111111111, ""best_practices"": 0.1111111111111111, ""latency"": 0.1111111111111111, ""documentation"": 0.1111111111111111}",False,0,0
financial_transaction,profile,"This service will sit behind a banking/payments backend that processes real money transfers. It must be up when customers need it and it must not silently drop or corrupt a transaction -- availability and reliability are non-negotiable, even if that means somewhat higher response times.",1000,lookup_table,0.007588927506621879,False,0.0,0,qws_2130,topsis,"{""response_time"": 0.08, ""availability"": 0.27, ""throughput"": 0.05, ""successability"": 0.08, ""reliability"": 0.3, ""compliance"": 0.1, ""best_practices"": 0.05, ""latency"": 0.02, ""documentation"": 0.05}",False,0,0
financial_transaction,profile,"This service will sit behind a banking/payments backend that processes real money transfers. It must be up when customers need it and it must not silently drop or corrupt a transaction -- availability and reliability are non-negotiable, even if that means somewhat higher response times.",1000,global_fixed,0.0,False,0.0,0,qws_2189,topsis,"{""response_time"": 0.1111111111111111, ""availability"": 0.1111111111111111, ""throughput"": 0.1111111111111111, ""successability"": 0.1111111111111111, ""reliability"": 0.1111111111111111, ""compliance"": 0.1111111111111111, ""best_practices"": 0.1111111111111111, ""latency"": 0.1111111111111111, ""documentation"": 0.1111111111111111}",False,0,0
batch_processing,profile,"We're running large, unattended overnight data-processing jobs. Nobody is watching the job run, so it needs to actually finish without failing partway through, and it needs to chew through a large volume of records efficiently. Response time for any single call barely matters since nothing is waiting on it interactively.",1000,lookup_table,0.0,False,0.0,0,qws_1159,topsis,"{""response_time"": 0.05, ""availability"": 0.08, ""throughput"": 0.34, ""successability"": 0.26, ""reliability"": 0.1, ""compliance"": 0.03, ""best_practices"": 0.03, ""latency"": 0.06, ""documentation"": 0.05}",False,0,0
batch_processing,profile,"We're running large, unattended overnight data-processing jobs. Nobody is watching the job run, so it needs to actually finish without failing partway through, and it needs to chew through a large volume of records efficiently. Response time for any single call barely matters since nothing is waiting on it interactively.",1000,global_fixed,0.02972736106604279,False,0.0,0,qws_2189,topsis,"{""response_time"": 0.1111111111111111, ""availability"": 0.1111111111111111, ""throughput"": 0.1111111111111111, ""successability"": 0.1111111111111111, ""reliability"": 0.1111111111111111, ""compliance"": 0.1111111111111111, ""best_practices"": 0.1111111111111111, ""latency"": 0.1111111111111111, ""documentation"": 0.1111111111111111}",False,0,0
low_cost_prototype,profile,"This is an early-stage hobby project with no dedicated ops team and no budget for support contracts. Whatever we pick needs to be well documented and easy to integrate correctly on the first try, since we can't afford to spend days debugging an unfamiliar API with poor docs.",1000,lookup_table,0.0,False,0.0,0,qws_2189,topsis,"{""response_time"": 0.06, ""availability"": 0.08, ""throughput"": 0.06, ""successability"": 0.06, ""reliability"": 0.08, ""compliance"": 0.1, ""best_practices"": 0.28, ""latency"": 0.04, ""documentation"": 0.24}",False,0,0
low_cost_prototype,profile,"This is an early-stage hobby project with no dedicated ops team and no budget for support contracts. Whatever we pick needs to be well documented and easy to integrate correctly on the first try, since we can't afford to spend days debugging an unfamiliar API with poor docs.",1000,global_fixed,0.0,False,0.0,0,qws_2189,topsis,"{""response_time"": 0.1111111111111111, ""availability"": 0.1111111111111111, ""throughput"": 0.1111111111111111, ""successability"": 0.1111111111111111, ""reliability"": 0.1111111111111111, ""compliance"": 0.1111111111111111, ""best_practices"": 0.1111111111111111, ""latency"": 0.1111111111111111, ""documentation"": 0.1111111111111111}",False,0,0
iot_telemetry_ingestion,profile,"We have thousands of small sensor devices each sending tiny telemetry messages many times per minute. Each individual call needs to complete quickly and needs to actually succeed, since a failed telemetry push usually just means that data point is lost forever rather than retried.",1000,global_fixed,0.008999214947607359,False,0.0,0,qws_2189,topsis,"{""response_time"": 0.1111111111111111, ""availability"": 0.1111111111111111, ""throughput"": 0.1111111111111111, ""successability"": 0.1111111111111111, ""reliability"": 0.1111111111111111, ""compliance"": 0.1111111111111111, ""best_practices"": 0.1111111111111111, ""latency"": 0.1111111111111111, ""documentation"": 0.1111111111111111}",False,0,0
iot_telemetry_ingestion,profile,"We have thousands of small sensor devices each sending tiny telemetry messages many times per minute. Each individual call needs to complete quickly and needs to actually succeed, since a failed telemetry push usually just means that data point is lost forever rather than retried.",1000,lookup_table,0.0,False,0.0,0,qws_0809,topsis,"{""response_time"": 0.3, ""availability"": 0.08, ""throughput"": 0.05, ""successability"": 0.28, ""reliability"": 0.1, ""compliance"": 0.03, ""best_practices"": 0.03, ""latency"": 0.08, ""documentation"": 0.05}",False,0,0
